DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-01-30,EQ,45.8,45.8,44.0,45.4,44.3,44.1,44.58,50.5,26.45,14680079,654423753.35,34914,RAMASTEEL
2024-01-29,EQ,48.1,48.1,45.0,45.25,45.6,45.4,45.87,50.5,26.45,36122409,1656900501.1,86110,RAMASTEEL
2024-01-25,EQ,47.0,47.8,44.7,46.05,45.05,45.25,45.85,50.5,26.45,33531814,1537301997.2,160622,RAMASTEEL
2024-01-24,EQ,46.3,48.25,44.25,45.6,46.1,46.05,46.82,50.5,26.45,54287309,2541566112.85,97479,RAMASTEEL
2024-01-23,EQ,50.45,50.5,44.4,47.65,45.25,45.6,47.68,50.5,26.45,38130742,1818036853.2,65842,RAMASTEEL
2024-01-20,EQ,41.05,48.25,41.05,40.65,47.5,47.65,45.59,48.25,26.45,73345581,3343617533.8,236570,RAMASTEEL
2024-01-19,EQ,39.7,41.5,39.2,38.8,40.5,40.65,40.61,45.2,26.45,12278976,498628246.8,43823,RAMASTEEL
2024-01-18,EQ,38.8,39.5,37.4,38.75,38.8,38.8,38.53,45.2,26.45,3694447,142358967.55,9575,RAMASTEEL
2024-01-17,EQ,38.8,39.35,38.0,39.4,38.8,38.75,38.78,45.2,26.45,4422321,171499409.4,9515,RAMASTEEL
2024-01-16,EQ,40.7,40.95,38.65,40.2,39.35,39.4,39.88,45.2,26.45,6804408,271385567.6,12886,RAMASTEEL
2024-01-15,EQ,39.4,41.9,38.25,39.0,40.2,40.2,40.11,45.2,26.45,15082345,604888436.3,40045,RAMASTEEL
2024-01-12,EQ,40.7,40.8,38.8,40.65,38.9,39.0,39.7,46.1,26.45,8574687,340397353.65,16092,RAMASTEEL
2024-01-11,EQ,37.8,41.15,37.5,37.55,40.35,40.65,39.76,46.1,26.45,24440971,971809540.7,30103,RAMASTEEL
2024-01-10,EQ,37.3,38.0,37.05,37.3,37.5,37.55,37.59,46.1,26.45,3814264,143367621.8,7551,RAMASTEEL
2024-01-09,EQ,37.6,38.95,37.0,37.5,37.25,37.3,38.01,46.1,26.45,5283490,200832293.4,10594,RAMASTEEL
2024-01-08,EQ,39.1,39.1,37.4,37.95,37.5,37.5,37.93,46.1,26.45,2968459,112579545.75,6728,RAMASTEEL
2024-01-05,EQ,38.1,38.25,37.1,37.9,37.75,37.95,37.57,188.0,26.45,4186116,157257547.05,7522,RAMASTEEL
2024-01-04,EQ,38.45,38.5,37.8,37.7,38.0,37.9,38.11,188.0,26.45,3835711,146191056.35,6665,RAMASTEEL
2024-01-03,EQ,37.65,38.0,37.0,37.3,37.75,37.7,37.65,188.0,26.45,6294191,236964028.8,9872,RAMASTEEL
2024-01-02,EQ,36.55,38.0,36.05,36.3,37.25,37.3,37.32,188.0,26.45,8236316,307404911.9,26580,RAMASTEEL
2024-01-01,EQ,36.15,37.0,35.95,36.0,36.35,36.3,36.34,188.0,26.45,2395363,87043962.0,9294,RAMASTEEL
2023-12-29,EQ,36.4,37.1,35.85,36.15,35.9,36.0,36.49,188.0,26.45,3762612,137291025.05,7387,RAMASTEEL
2023-12-28,EQ,36.45,37.0,36.05,36.15,36.25,36.15,36.34,188.0,26.45,2387548,86761233.25,5112,RAMASTEEL
2023-12-27,EQ,37.1,37.25,35.95,36.9,36.15,36.15,36.53,188.0,26.45,3336435,121875445.5,5629,RAMASTEEL
2023-12-26,EQ,37.1,37.45,36.7,36.9,36.85,36.9,37.0,188.0,26.45,1584093,58607848.95,3474,RAMASTEEL
