DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-01-30,EQ,625.45,633.5,624.2,622.95,625.5,626.75,628.36,660.4,499.35,16966577,10661120748.15,340803,SBIN
2024-01-29,EQ,619.0,629.5,615.6,612.75,624.2,622.95,622.28,660.4,499.35,19572140,12179266716.9,375931,SBIN
2024-01-25,EQ,618.5,623.8,606.25,618.3,615.0,612.75,612.47,660.4,499.35,22684904,13893936068.05,295756,SBIN
2024-01-24,EQ,609.95,622.35,603.1,605.1,618.0,618.3,615.78,660.4,499.35,19221835,11836460488.35,274606,SBIN
2024-01-23,EQ,627.0,634.9,600.65,631.4,606.0,605.1,613.88,660.4,499.35,30954343,19002405937.25,409569,SBIN
2024-01-20,EQ,629.0,633.8,624.1,627.75,631.0,631.4,628.99,660.4,499.35,9886760,6218702860.5,133765,SBIN
2024-01-19,EQ,633.0,635.5,624.7,628.3,628.7,627.75,629.47,660.4,499.35,11675202,7349140974.3,208754,SBIN
2024-01-18,EQ,625.8,633.45,619.05,626.0,628.5,628.3,627.46,660.4,499.35,14695436,9220794332.4,239183,SBIN
2024-01-17,EQ,624.0,636.8,623.0,636.9,626.45,626.0,628.6,660.4,499.35,30016308,18868396654.85,428458,SBIN
2024-01-16,EQ,640.0,644.9,633.45,640.1,637.55,636.9,639.72,660.4,499.35,15025543,9612187789.45,253396,SBIN
2024-01-15,EQ,638.9,645.5,636.1,633.6,640.8,640.1,640.23,660.4,499.35,16844018,10784099571.95,300031,SBIN
2024-01-12,EQ,623.8,636.5,621.1,620.2,635.25,633.6,630.54,660.4,499.35,16620797,10480104627.65,302558,SBIN
2024-01-11,EQ,626.0,627.15,618.5,621.75,621.25,620.2,621.85,660.4,499.35,15533860,9659792551.1,284550,SBIN
2024-01-10,EQ,624.8,625.3,618.2,625.4,622.0,621.75,622.15,660.4,499.35,12742464,7927674893.1,213657,SBIN
2024-01-09,EQ,632.0,634.35,624.5,627.0,625.95,625.4,629.7,660.4,499.35,13400235,8438088899.05,236123,SBIN
2024-01-08,EQ,640.0,645.0,625.05,641.95,627.9,627.0,633.49,660.4,499.35,14739531,9337325175.95,336839,SBIN
2024-01-05,EQ,645.0,651.75,637.75,642.75,641.45,641.95,645.02,660.4,499.35,15984585,10310453920.0,272662,SBIN
2024-01-04,EQ,642.5,646.4,638.65,643.45,643.6,642.75,642.95,660.4,499.35,13883388,8926355539.75,271568,SBIN
2024-01-03,EQ,639.35,648.0,635.8,639.45,644.5,643.45,643.21,660.4,499.35,14571772,9372732858.9,252225,SBIN
2024-01-02,EQ,641.35,648.0,633.85,641.35,639.2,639.45,640.47,660.4,499.35,15164482,9712346967.95,249803,SBIN
2024-01-01,EQ,642.2,646.9,638.0,642.05,638.1,641.35,643.93,660.4,499.35,8295548,5341716373.3,257804,SBIN
2023-12-29,EQ,645.5,649.6,639.55,651.4,641.7,642.05,642.49,660.4,499.35,13221898,8494932618.15,332467,SBIN
2023-12-28,EQ,650.25,653.3,646.5,648.55,649.3,651.4,650.46,660.4,499.35,16982092,11046112701.5,301058,SBIN
2023-12-27,EQ,640.75,649.45,639.0,638.05,648.65,648.55,645.18,660.4,499.35,14417646,9301972173.2,295473,SBIN
2023-12-26,EQ,638.85,641.3,635.65,636.75,638.5,638.05,639.19,660.4,499.35,10153089,6489768989.95,298625,SBIN
2023-12-22,EQ,644.75,649.4,635.15,643.75,637.2,636.75,642.31,660.4,499.35,14998068,9633365890.05,307210,SBIN
2023-12-21,EQ,632.15,648.95,627.5,636.45,644.0,643.75,639.02,660.4,499.35,19915516,12726451072.85,347188,SBIN
2023-12-20,EQ,658.7,660.4,633.95,655.4,634.55,636.45,647.91,660.4,499.35,22542056,14605196613.65,419233,SBIN
2023-12-19,EQ,648.5,659.6,640.25,648.5,656.0,655.4,652.88,659.6,499.35,19964008,13034125974.85,384049,SBIN
2023-12-18,EQ,646.65,655.65,642.4,648.25,647.6,648.5,650.04,655.65,499.35,16221796,10544832650.95,347590,SBIN
2023-12-15,EQ,628.0,650.0,619.85,623.65,648.3,648.25,638.08,650.0,499.35,29813572,19023430389.9,433979,SBIN
2023-12-14,EQ,626.0,627.75,622.4,619.85,623.65,623.65,624.37,629.55,499.35,15813797,9873663687.1,336921,SBIN
2023-12-13,EQ,614.45,620.5,611.65,612.4,619.0,619.85,616.9,629.55,499.35,13977914,8622977354.1,279821,SBIN
2023-12-12,EQ,617.0,617.95,610.8,614.25,612.05,612.4,613.75,629.55,499.35,14494836,8896194867.15,282774,SBIN
2023-12-11,EQ,615.0,619.9,613.1,614.15,614.2,614.25,615.99,629.55,499.35,11706255,7210878840.8,285158,SBIN
2023-12-08,EQ,610.0,616.8,605.35,611.7,614.5,614.15,610.67,629.55,499.35,17722136,10822316306.2,294891,SBIN
2023-12-07,EQ,610.0,612.55,605.0,608.45,611.5,611.7,609.73,629.55,499.35,10725706,6539746289.5,248309,SBIN
2023-12-06,EQ,614.0,614.0,604.55,608.25,607.7,608.45,609.96,629.55,499.35,21439069,13076949822.2,273409,SBIN
2023-12-05,EQ,595.05,611.3,595.05,594.7,608.25,608.25,606.37,629.55,499.35,36430152,22090196336.45,432396,SBIN
2023-12-04,EQ,588.0,596.0,584.55,571.75,595.9,594.7,590.28,629.55,499.35,26077882,15393175008.05,386859,SBIN
2023-12-01,EQ,567.0,574.2,566.55,564.75,571.85,571.75,571.83,629.55,499.35,10614230,6069542121.05,189868,SBIN
2023-11-30,EQ,569.75,570.2,563.65,568.6,565.15,564.75,566.22,629.55,499.35,19758998,11187929536.5,314822,SBIN
2023-11-29,EQ,568.0,569.0,565.1,564.45,568.35,568.6,567.58,629.55,499.35,10299034,5845506569.15,206929,SBIN
2023-11-28,EQ,563.6,565.2,561.1,560.35,564.8,564.45,563.42,629.55,499.35,8153314,4593727819.7,186090,SBIN
2023-11-24,EQ,561.95,562.45,559.25,559.95,560.7,560.35,560.63,629.55,499.35,6529851,3660804948.55,155259,SBIN
2023-11-23,EQ,561.75,563.5,558.3,558.95,560.5,559.95,560.72,629.55,499.35,6376210,3575282774.35,198344,SBIN
2023-11-22,EQ,562.95,564.5,555.15,561.5,559.5,558.95,559.0,629.55,499.35,14909071,8334245035.5,247815,SBIN
2023-11-21,EQ,566.0,566.65,561.0,563.75,561.4,561.5,563.11,629.55,499.35,14280013,8041232058.75,223495,SBIN
2023-11-20,EQ,564.0,566.8,560.6,563.05,563.5,563.75,564.68,629.55,499.35,12714585,7179613743.45,264832,SBIN
2023-11-17,EQ,574.5,574.5,562.1,584.65,562.9,563.05,566.16,629.55,499.35,37173221,21045979976.3,682644,SBIN
2023-11-16,EQ,584.7,588.0,582.9,584.7,584.1,584.65,585.4,629.55,499.35,8622660,5047671165.75,179964,SBIN
2023-11-15,EQ,587.25,588.0,582.6,581.35,584.0,584.7,584.93,629.55,499.35,11397676,6666856921.25,221182,SBIN
2023-11-13,EQ,581.0,582.5,575.2,581.3,581.3,581.35,578.71,629.55,499.35,11282362,6529178380.05,177978,SBIN
2023-11-12,EQ,584.75,584.75,580.1,579.5,580.85,581.3,581.85,629.55,499.35,1947722,1133273076.55,53935,SBIN
2023-11-10,EQ,577.8,581.0,575.4,578.35,580.25,579.5,578.7,629.55,499.35,6773038,3919567928.9,119792,SBIN
2023-11-09,EQ,581.0,581.85,576.5,580.3,577.6,578.35,578.27,629.55,499.35,12434363,7190409015.15,167584,SBIN
2023-11-08,EQ,581.9,582.6,579.0,579.75,580.4,580.3,580.52,629.55,499.35,15434808,8960148835.65,391419,SBIN
2023-11-07,EQ,574.8,581.2,572.6,574.35,580.35,579.75,577.36,629.55,499.35,17923281,10348172706.1,466280,SBIN
2023-11-06,EQ,582.0,582.5,573.25,578.15,573.95,574.35,575.7,629.55,499.35,16499138,9498482029.95,330138,SBIN
2023-11-03,EQ,576.0,579.5,573.45,572.1,579.15,578.15,577.35,629.55,499.35,11371371,6565279355.45,205720,SBIN
2023-11-02,EQ,571.1,575.45,567.6,566.4,572.0,572.1,571.18,629.55,499.35,11148516,6367849377.0,212716,SBIN
2023-11-01,EQ,566.25,569.65,563.85,565.55,567.3,566.4,567.16,629.55,499.35,13575575,7699515897.65,240220,SBIN
2023-10-31,EQ,567.0,569.5,563.15,565.2,565.95,565.55,566.37,629.55,499.35,13039696,7385312631.25,236664,SBIN
2023-10-30,EQ,563.0,566.7,556.5,561.15,566.2,565.2,562.29,629.55,499.35,8593704,4832188898.35,191150,SBIN
2023-10-27,EQ,550.0,562.5,550.0,547.0,561.7,561.15,558.49,629.55,499.35,10415296,5816877868.95,210599,SBIN
2023-10-26,EQ,551.45,552.9,543.2,556.2,547.0,547.0,547.27,629.55,499.35,19424825,10630651336.6,317445,SBIN
2023-10-25,EQ,558.6,560.8,553.6,552.95,556.6,556.2,557.67,629.55,499.35,12134624,6767161161.25,262171,SBIN
2023-10-23,EQ,563.1,566.0,551.0,563.1,552.4,552.95,559.35,629.55,499.35,11875035,6642319960.75,263251,SBIN
2023-10-20,EQ,569.9,570.0,562.1,571.2,562.8,563.1,565.15,629.55,499.35,11110988,6279375187.5,282726,SBIN
2023-10-19,EQ,569.8,574.0,567.0,572.65,571.3,571.2,570.92,629.55,499.35,11441499,6532150778.6,239777,SBIN
2023-10-18,EQ,577.75,579.25,569.35,576.45,572.75,572.65,573.26,629.55,499.35,11777454,6751531244.1,270057,SBIN
2023-10-17,EQ,577.7,579.95,575.3,575.65,576.7,576.45,577.46,629.55,499.35,10765224,6216466935.7,269728,SBIN
2023-10-16,EQ,576.0,578.75,571.5,576.15,575.5,575.65,576.02,629.55,499.35,11290293,6503388837.6,485503,SBIN
2023-10-13,EQ,577.75,581.3,574.8,586.05,576.2,576.15,577.07,629.55,499.35,19064577,11001625403.05,465129,SBIN
2023-10-12,EQ,590.8,593.0,585.0,588.35,585.6,586.05,588.33,629.55,499.35,11983797,7050377951.75,171954,SBIN
2023-10-11,EQ,596.9,597.0,587.6,591.65,588.9,588.35,591.39,629.55,499.35,14220119,8409571970.95,209131,SBIN
2023-10-10,EQ,587.0,595.0,585.75,585.1,591.2,591.65,590.68,629.55,499.35,10373508,6127406833.2,250192,SBIN
2023-10-09,EQ,588.0,589.0,581.55,594.25,584.55,585.1,584.53,629.55,499.35,9189597,5371608921.2,235554,SBIN
2023-10-06,EQ,593.4,598.95,592.2,592.15,594.0,594.25,595.04,629.55,499.35,8216780,4889295417.95,187684,SBIN
2023-10-05,EQ,590.0,594.35,587.1,586.25,592.0,592.15,591.18,629.55,499.35,13248028,7832000311.45,209600,SBIN
2023-10-04,EQ,600.0,600.45,584.45,602.95,585.2,586.25,590.41,629.55,499.35,24914612,14709773963.6,308578,SBIN
2023-10-03,EQ,596.6,604.9,589.6,598.55,603.1,602.95,597.63,629.55,499.35,15322196,9156985818.05,245784,SBIN
2023-09-29,EQ,592.85,600.0,591.3,589.95,598.3,598.55,597.22,629.55,499.35,12189735,7279947317.4,224164,SBIN
2023-09-28,EQ,591.25,595.2,588.85,589.75,590.5,589.95,591.37,629.55,499.35,21960816,12986961371.85,287488,SBIN
2023-09-27,EQ,593.45,594.3,588.2,594.4,590.0,589.75,590.74,629.55,499.35,9865347,5827826886.25,232626,SBIN
2023-09-26,EQ,594.0,595.0,591.25,594.05,594.45,594.4,593.8,629.55,499.35,8327427,4944809375.45,185873,SBIN
2023-09-25,EQ,601.5,601.5,590.45,598.15,593.95,594.05,594.79,629.55,499.35,9712784,5777109828.2,262285,SBIN
2023-09-22,EQ,593.5,602.0,591.4,588.15,598.7,598.15,598.12,629.55,499.35,18784139,11235213845.05,295166,SBIN
2023-09-21,EQ,600.0,606.6,584.65,601.1,587.9,588.15,593.29,629.55,499.35,23453425,13914625160.45,425490,SBIN
2023-09-20,EQ,600.85,606.8,599.4,603.95,601.0,601.1,602.78,629.55,499.35,21314600,12848060287.55,351772,SBIN
2023-09-18,EQ,598.8,608.4,597.05,598.8,603.0,603.95,605.18,629.55,499.35,19305055,11683085228.8,336027,SBIN
2023-09-15,EQ,599.35,600.7,595.2,597.3,598.05,598.8,598.23,629.55,499.35,11756389,7033062065.15,182595,SBIN
2023-09-14,EQ,598.45,603.7,595.2,596.45,596.6,597.3,598.77,629.55,499.35,13178911,7891138917.75,260528,SBIN
2023-09-13,EQ,588.4,598.0,583.45,588.35,596.35,596.45,592.24,629.55,499.35,19377172,11475963581.8,279643,SBIN
2023-09-12,EQ,593.65,594.25,584.65,591.7,587.6,588.35,588.44,629.55,499.35,16093060,9469853287.9,254109,SBIN
2023-09-11,EQ,587.0,592.3,585.35,583.45,591.25,591.7,590.12,629.55,499.35,10946134,6459550843.3,271751,SBIN
2023-09-08,EQ,581.0,588.5,579.7,579.05,583.4,583.45,584.57,629.55,499.35,14032068,8202779359.95,205241,SBIN
2023-09-07,EQ,568.0,581.0,568.0,570.5,580.6,579.05,575.6,629.55,499.35,12390597,7132078107.95,180550,SBIN
2023-09-06,EQ,574.25,574.25,568.0,573.0,570.95,570.5,570.55,629.55,499.35,20609936,11759100652.1,337013,SBIN
2023-09-05,EQ,575.6,578.25,571.35,575.55,572.95,573.0,574.05,629.55,499.35,14444729,8292019922.2,247672,SBIN
2023-09-04,EQ,572.0,576.35,568.45,569.55,575.6,575.55,572.87,629.55,499.35,12108655,6936698350.4,195524,SBIN
